Alemania
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
Semdex,"1.464,04","1.464,04","1.464,04","+0,00","+0,00%",06/11
 
México
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
FTSE BIVA Índice de Precios en Tiempo Real,"822,29","824,38","790,04","+32,25","+4,08%",16:17:00
S&P/BMV IPC,"40.138,74","40.228,73","39.085,67","+1610,82","+4,18%",16:12:00
S&P/BMV INMEX,"2.441,27","2.445,90","2.368,52","+111,16","+4,77%",16:12:00
S&P/BMV IPC CompMx,"333,65","334,17","325,03","+13,25","+4,14%",16:12:00
 
Mongolia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
MNE Top 20,"17.517,07","17.517,07","17.517,07","0,00","0,00%",16:00:00
 
Montenegro
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
MNSE 10,"643,32","643,32","643,32","0,00","0,00%",06/11
MONEX,"9.747,98","9.747,98","9.747,98","0,00","0,00%",06/11
 
Namibia
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
NSX,"1.062,1","1.094,0","1.047,3","+14,8","+1,41%",06/11
NSX Local,"464,1","464,7","463,4","0,0","0,00%",06/11
 
Nigeria
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
NSE 30,"1.402,36","1.402,36","1.342,41","+59,95","+4,47%",14:30:00
NSE All Share,"32.243,05","32.243,05","31.016,17","+1.226,88","+3,96%",14:30:00
 
Noruega
Índice,Último,Máximo,Mínimo,Var.,% Var.,Hora,
